hospital_name,city,zip,phone,bed_cnt,opportunity_type,opportunity_score,priority_tier
UF HEALTH SHANDS HOSPITAL,GAINESVILLE,32610,3522658000,1054,REPLACEMENT,60,A
UF HEALTH SPANISH PLAINES HOSPITAL,THE VILLAGES,32159,3527518000,315,REPLACEMENT,60,A
HOLMES REGIONAL MEDICAL CENTER,MELBOURNE,32901,3214347000,514,REPLACEMENT,60,A
ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER,ORLANDO,32806,3218415111,2024,REPLACEMENT,60,A
UF HEALTH LEESBURG HOSPITAL,LEESBURG,34748,3523235762,330,REPLACEMENT,55,B
GULF COAST MEDICAL CENTER,FORT MYERS,33912,2393431000,699,REPLACEMENT,55,B
HCA FLORIDA NORTH FLORIDA HOSPITAL,GAINESVILLE,32605,3523334100,528,REPLACEMENT,55,B
H LEE MOFFITT CANCER CENTER,TAMPA,33612,8139793054,346,REPLACEMENT,55,B
TAMPA GENERAL HOSPITAL,TAMPA,33606,8138447000,1096,REPLACEMENT,55,B
NAPLES COMMUNITY HOSPITAL,NAPLES,34102,2396244002,728,REPLACEMENT,55,B
ADVENTHEALTH OCALA,OCALA,34474,3523517200,385,REPLACEMENT,55,B
ST ANTHONYS HOSPITAL,SAINT PETERSBURG,33705,7278251100,448,REPLACEMENT,55,B
SARASOTA MEMORIAL HOSPITAL,SARASOTA,34239,9419179000,897,REPLACEMENT,55,B
HCA FLORIDA OSCEOLA HOSPITAL,KISSIMMEE,34741,4078462266,407,UPGRADE,50,B
SHOREPOINT HEALTH VENICE,VENICE,34285,9414857711,312,UPGRADE,50,B
MEASE COUNTRYSIDE HOSPITAL,SAFETY HARBOR,34695,7277346950,300,UPGRADE,50,B
HCA FLORIDA BRANDON HOSPITAL,BRANDON,33511,8139160600,479,UPGRADE,50,B
WINTER HAVEN HOSPITAL,WINTER HAVEN,33881,8632931121,508,UPGRADE,50,B
ADVENTHEALTH ORLANDO,ORLANDO,32803,4073031976,3289,UPGRADE,50,B
MORTON PLANT HOSPITAL,CLEARWATER,33756,7274627000,687,UPGRADE,50,B
LAKELAND REGIONAL MEDICAL CENTER,LAKELAND,33805,8636871100,892,UPGRADE,50,B
HCA FLORIDA OCALA HOSPITAL,OCALA,34471,3524011000,545,UPGRADE,50,B
ADVENTHEALTH TAMPA,TAMPA,33613,8136157200,626,UPGRADE,50,B
